day,S,H,Flr,W,Pi,V,breach,depth,K_L,K_S1,T_L_rem,T_S1_rem,tS,tL,roll_count,breach_days,depth_sum,event
104,250.39618453042357,264.4157594827123,133.0011518965425,-125.43747157222424,53.13765316040985,178.09636611860918,0,0.0,304.07812340511913,60.0885,30,63,104,4,5,0,0.0,
105,254.82613545264732,264.4157594827123,133.0011518965425,-125.43747157222424,48.71698795247181,178.1056518328949,0,0.0,304.07812340511913,60.0885,29,62,105,5,5,0,0.0,
106,274.73021795668825,274.73021795668825,135.06404359133768,-125.43747157222424,28.937969635987397,178.2307160204514,0,0.0,304.07812340511913,60.0885,28,61,106,6,5,0,0.0,
107,299.5441741668459,299.5441741668459,140.02683483336918,-125.43747157222424,12.191249999999998,186.29795259462165,0,0.0,304.07812340511913,60.0885,27,60,107,7,5,0,0.0,
108,302.8540612198086,302.8540612198086,140.68881224396173,-125.43747157222424,9.594693509069659,187.01128315665403,0,0.0,304.07812340511913,60.0885,26,59,108,8,5,0,0.0,
109,295.1944358722089,302.8540612198086,140.68881224396173,-125.43747157222424,11.796666666666667,181.55363096665133,0,0.0,304.07812340511913,60.0885,25,58,109,9,5,0,0.0,
110,340.5316058220183,340.5316058220183,148.22432116440368,-125.43747157222424,4.502298427007211,219.5964326768013,0,0.0,304.07812340511913,60.0885,24,57,110,10,5,0,0.0,
111,329.1084060229937,340.5316058220183,148.22432116440368,-125.43747157222424,5.333986603711634,209.00492105448106,0,0.0,304.07812340511913,60.0885,23,56,111,11,5,0,0.0,
112,313.74095400235296,340.5316058220183,148.22432116440368,-125.43747157222424,7.536411690599673,195.8398941207284,0,0.0,304.07812340511913,60.0885,22,55,112,12,5,0,0.0,
113,308.40004246659896,340.5316058220183,148.22432116440368,-125.43747157222424,8.393333333333333,191.35590422770807,0,0.0,304.07812340511913,60.0885,21,54,113,13,5,0,0.0,
114,303.2731851028274,340.5316058220183,148.22432116440368,-125.43747157222424,8.19,186.02571353060318,0,0.0,304.07812340511913,60.0885,20,53,114,14,5,0,0.0,
115,305.48752087125047,340.5316058220183,148.22432116440368,-125.43747157222424,8.139099146548453,188.1891484455747,0,0.0,304.07812340511913,60.0885,19,52,115,15,5,0,0.0,
116,305.32607734367724,340.5316058220183,148.22432116440368,-125.43747157222424,8.097836594087585,187.9864423655406,0,0.0,304.07812340511913,60.0885,18,51,116,16,5,0,0.0,
117,307.4110682768469,340.5316058220183,148.22432116440368,-125.43747157222424,7.866209893585663,189.83980659820833,0,0.0,304.07812340511913,60.0885,17,50,117,17,5,0,0.0,
118,319.440952758685,340.5316058220183,148.22432116440368,-125.43747157222424,5.9373056423150175,199.94078682877577,0,0.0,304.07812340511913,60.0885,16,49,118,18,5,0,0.0,
119,305.3629222400648,340.5316058220183,148.22432116440368,-125.43747157222424,7.954090070748664,187.8795407385892,0,0.0,304.07812340511913,60.0885,15,48,119,19,5,0,0.0,
120,316.9521008456952,340.5316058220183,148.22432116440368,-168.99840531074247,47.232815126854234,195.18651066180698,0,0.0,364.49491597254945,60.0885,34,47,120,0,6,0,0.0,ROLL_L
121,343.5448725018762,343.5448725018762,148.82697450037526,-168.99840531074247,20.68718632781608,195.23365351894984,0,0.0,364.49491597254945,60.0885,33,46,121,1,6,0,0.0,
122,282.98073287831846,343.5448725018762,148.82697450037526,-168.99840531074247,81.21418309423099,195.196510661807,0,0.0,364.49491597254945,60.0885,32,45,122,2,6,0,0.0,
123,272.9685038861667,343.5448725018762,148.82697450037526,-168.99840531074247,91.20271138947199,195.1728099648962,0,0.0,364.49491597254945,60.0885,31,44,123,3,6,0,0.0,
